arm,cost,AUROC_target,AUROC_realized,total_colo,colo_high,colo_low,mort_high,mort_high_se,mort_low,mort_overall,mort_overall_se,LYG1000_overall,LYG1000_high,incidence_overall
Fixed x1,,,,0.895,0.891,0.896,2.837,0.149,0.854,1.346,0.052,47.5,136.8,3.388
Fixed x2,,,,1.659,1.649,1.662,2.152,0.130,0.750,1.098,0.047,64.2,189.3,2.780
Fixed x3,,,,2.592,2.589,2.593,1.781,0.119,0.747,1.004,0.045,83.6,252.0,2.470
Fixed x4,,,,3.244,3.238,3.247,1.298,0.102,0.681,0.834,0.041,95.8,287.3,2.226
PBVI c=0.02,0.02,0.500,0.5027,4.085,4.721,3.875,1.161,0.096,0.567,0.714,0.038,91.7,263.9,2.148
PBVI c=0.02,0.02,0.550,0.5498,4.105,4.757,3.890,1.177,0.097,0.559,0.712,0.038,92.6,265.6,2.152
PBVI c=0.02,0.02,0.600,0.5997,4.186,4.858,3.964,1.112,0.094,0.569,0.704,0.037,95.8,274.2,2.142
PBVI c=0.02,0.02,0.650,0.6495,4.265,4.976,4.030,1.016,0.090,0.561,0.674,0.037,102.9,288.3,2.070
PBVI c=0.02,0.02,0.700,0.6994,4.292,5.076,4.033,0.967,0.088,0.564,0.664,0.036,106.6,306.6,2.106
PBVI c=0.02,0.02,0.725,0.7243,4.284,5.117,4.010,0.975,0.088,0.569,0.670,0.036,106.8,310.1,2.112
PBVI c=0.02,0.02,0.750,0.7493,4.263,5.153,3.970,1.000,0.089,0.575,0.680,0.037,105.6,301.5,2.112
PBVI c=0.02,0.02,0.775,0.7743,4.232,5.197,3.913,0.975,0.088,0.575,0.674,0.037,106.0,301.5,2.148
PBVI c=0.02,0.02,0.800,0.7992,4.188,5.243,3.839,1.016,0.090,0.569,0.680,0.037,103.2,293.2,2.138
PBVI c=0.02,0.02,0.825,0.8242,4.133,5.291,3.751,0.975,0.088,0.596,0.690,0.037,103.7,300.0,2.176
PBVI c=0.02,0.02,0.850,0.8493,4.069,5.344,3.648,0.991,0.089,0.617,0.710,0.038,102.7,297.8,2.162
PBVI c=0.03,0.03,0.500,0.5027,3.638,4.361,3.399,1.298,0.102,0.606,0.778,0.039,87.4,256.5,2.194
PBVI c=0.03,0.03,0.550,0.5498,3.636,4.340,3.404,1.298,0.102,0.609,0.780,0.039,86.7,254.4,2.200
PBVI c=0.03,0.03,0.600,0.5997,3.546,4.291,3.300,1.241,0.099,0.604,0.762,0.039,88.0,254.3,2.186
PBVI c=0.03,0.03,0.650,0.6495,3.472,4.295,3.201,1.201,0.098,0.604,0.752,0.039,92.4,262.1,2.182
PBVI c=0.03,0.03,0.700,0.6994,3.412,4.352,3.102,1.185,0.097,0.633,0.770,0.039,92.2,261.5,2.194
PBVI c=0.03,0.03,0.725,0.7243,3.376,4.400,3.038,1.120,0.095,0.625,0.748,0.039,94.1,272.8,2.202
PBVI c=0.03,0.03,0.750,0.7493,3.336,4.445,2.969,1.217,0.098,0.625,0.772,0.039,91.0,260.3,2.242
PBVI c=0.03,0.03,0.775,0.7743,3.286,4.503,2.885,1.161,0.096,0.630,0.762,0.039,91.9,272.3,2.236
PBVI c=0.03,0.03,0.800,0.7992,3.229,4.569,2.787,1.104,0.094,0.622,0.742,0.038,94.5,282.5,2.224
PBVI c=0.03,0.03,0.825,0.8242,3.170,4.652,2.680,1.137,0.095,0.630,0.756,0.039,91.6,271.4,2.212
PBVI c=0.03,0.03,0.850,0.8493,3.098,4.737,2.557,1.096,0.093,0.617,0.736,0.038,91.3,269.3,2.244
PBVI c=0.06,0.06,0.500,0.5027,2.023,2.506,1.863,1.596,0.113,0.769,0.974,0.044,74.8,233.5,2.566
PBVI c=0.06,0.06,0.550,0.5498,1.566,2.029,1.413,1.862,0.121,0.753,1.028,0.045,62.9,189.4,2.834
PBVI c=0.06,0.06,0.600,0.5997,1.530,2.050,1.359,1.862,0.121,0.777,1.046,0.045,62.2,192.3,2.856
PBVI c=0.06,0.06,0.650,0.6495,1.529,2.122,1.334,1.798,0.119,0.766,1.022,0.045,65.5,200.2,2.802
PBVI c=0.06,0.06,0.700,0.6994,1.535,2.230,1.306,1.741,0.117,0.729,0.980,0.044,69.8,208.0,2.732
PBVI c=0.06,0.06,0.725,0.7243,1.534,2.292,1.284,1.717,0.117,0.724,0.970,0.044,70.2,208.8,2.694
PBVI c=0.06,0.06,0.750,0.7493,1.528,2.364,1.252,1.693,0.116,0.708,0.952,0.043,71.9,211.5,2.668
PBVI c=0.06,0.06,0.775,0.7743,1.514,2.433,1.211,1.717,0.117,0.724,0.970,0.044,71.1,212.5,2.690
PBVI c=0.06,0.06,0.800,0.7992,1.493,2.509,1.158,1.741,0.117,0.726,0.978,0.044,72.4,214.1,2.704
PBVI c=0.06,0.06,0.825,0.8242,1.465,2.596,1.092,1.685,0.116,0.753,0.984,0.044,72.8,220.9,2.736
PBVI c=0.06,0.06,0.850,0.8493,1.430,2.685,1.015,1.701,0.116,0.806,1.028,0.045,66.8,212.7,2.770
PBVI c=0.1,0.1,0.500,0.5027,0.855,0.963,0.820,2.555,0.142,0.801,1.236,0.049,36.3,94.0,3.284
PBVI c=0.1,0.1,0.550,0.5498,0.718,0.823,0.683,2.773,0.147,0.822,1.306,0.051,32.9,78.3,3.452
PBVI c=0.1,0.1,0.600,0.5997,0.580,0.750,0.524,2.821,0.149,0.891,1.370,0.052,26.8,67.9,3.568
PBVI c=0.1,0.1,0.650,0.6495,0.525,0.773,0.443,2.829,0.149,0.894,1.374,0.052,25.1,63.0,3.592
PBVI c=0.1,0.1,0.700,0.6994,0.518,0.884,0.397,2.765,0.147,0.944,1.396,0.052,23.3,66.0,3.612
PBVI c=0.1,0.1,0.725,0.7243,0.525,0.964,0.380,2.692,0.145,0.960,1.390,0.052,25.3,78.8,3.580
PBVI c=0.1,0.1,0.750,0.7493,0.536,1.051,0.365,2.587,0.143,0.958,1.362,0.052,28.1,88.7,3.556
PBVI c=0.1,0.1,0.775,0.7743,0.550,1.154,0.351,2.467,0.139,0.979,1.348,0.052,29.1,95.8,3.542
PBVI c=0.1,0.1,0.800,0.7992,0.563,1.261,0.333,2.313,0.135,0.974,1.306,0.051,33.7,114.0,3.486
PBVI c=0.1,0.1,0.825,0.8242,0.576,1.367,0.315,2.225,0.132,0.966,1.278,0.050,36.9,126.5,3.438
PBVI c=0.1,0.1,0.850,0.8493,0.593,1.492,0.297,2.201,0.132,0.974,1.278,0.050,39.6,139.5,3.418
