panel,description,n_markers,markers,cost,AUROC_realized,total_colo,colo_high,colo_low,mort_high,mort_high_se,mort_low,mort_overall,mort_overall_se,LYG1000_overall,LYG1000_high,incidence_overall
P1 FH,family history alone,1,fh,0.02,0.6038,4.258,4.983,4.018,1.161,0.096,0.556,0.706,0.037,93.3,267.5,2.156
P2 FH+PA,+ prior-adenoma history (today's clinical baseline),2,fh+pa,0.02,0.6695,4.281,5.071,4.020,1.169,0.096,0.593,0.736,0.038,92.8,274.8,2.118
P3 +ENV,+ lifestyle/environmental E-score,3,fh+pa+env,0.02,0.7024,4.305,5.115,4.038,1.145,0.096,0.585,0.724,0.038,96.3,279.7,2.114
P4 +PRS-140,"+ PRS, current generation (~140 loci)",4,fh+pa+env+prs_now,0.02,0.7391,4.289,5.153,4.004,1.193,0.097,0.622,0.764,0.039,98.0,279.4,2.166
P5 PRS-GW,PRS upgraded to genome-wide / multi-ancestry,4,fh+pa+env+prs_next,0.02,0.7653,4.258,5.194,3.949,1.048,0.091,0.567,0.686,0.037,106.3,300.5,2.052
P6 +microbiome,+ faecal microbiome signature,5,fh+pa+env+prs_next+microb,0.02,0.7750,4.241,5.208,3.922,1.145,0.096,0.596,0.732,0.038,103.4,298.2,2.106
P7 +FIT f-Hb,+ quantitative faecal haemoglobin as a stratifier,6,fh+pa+env+prs_next+microb+fit_q,0.02,0.8031,4.189,5.268,3.833,1.048,0.091,0.572,0.690,0.037,107.1,308.7,2.098
P8 +mt-sDNA,+ multi-target stool DNA/RNA panel,7,fh+pa+env+prs_next+microb+fit_q+mtsdna,0.02,0.8263,4.130,5.305,3.742,0.967,0.088,0.577,0.674,0.037,108.3,316.8,2.104
P9 +cfDNA,+ blood methylated cell-free DNA score,8,fh+pa+env+prs_next+microb+fit_q+mtsdna+cfdna,0.02,0.8461,4.079,5.345,3.661,1.048,0.091,0.625,0.730,0.038,103.4,310.5,2.156
P1 FH,family history alone,1,fh,0.03,0.6038,3.581,4.280,3.350,1.298,0.102,0.604,0.776,0.039,89.2,260.3,2.232
P2 FH+PA,+ prior-adenoma history (today's clinical baseline),2,fh+pa,0.03,0.6695,3.178,4.216,2.835,1.249,0.100,0.633,0.786,0.039,88.5,260.5,2.278
P3 +ENV,+ lifestyle/environmental E-score,3,fh+pa+env,0.03,0.7024,3.316,4.326,2.983,1.209,0.098,0.654,0.792,0.040,91.9,268.2,2.318
P4 +PRS-140,"+ PRS, current generation (~140 loci)",4,fh+pa+env+prs_now,0.03,0.7391,3.363,4.438,3.008,1.169,0.096,0.604,0.744,0.038,97.3,269.4,2.150
P5 PRS-GW,PRS upgraded to genome-wide / multi-ancestry,4,fh+pa+env+prs_next,0.03,0.7653,3.318,4.505,2.926,1.249,0.100,0.622,0.778,0.039,88.2,259.5,2.254
P6 +microbiome,+ faecal microbiome signature,5,fh+pa+env+prs_next+microb,0.03,0.7750,3.295,4.527,2.888,1.185,0.097,0.617,0.758,0.039,94.5,268.1,2.252
P7 +FIT f-Hb,+ quantitative faecal haemoglobin as a stratifier,6,fh+pa+env+prs_next+microb+fit_q,0.03,0.8031,3.233,4.608,2.779,1.185,0.097,0.622,0.762,0.039,96.1,275.0,2.234
P8 +mt-sDNA,+ multi-target stool DNA/RNA panel,7,fh+pa+env+prs_next+microb+fit_q+mtsdna,0.03,0.8263,3.170,4.674,2.673,1.193,0.097,0.638,0.776,0.039,91.9,273.1,2.212
P9 +cfDNA,+ blood methylated cell-free DNA score,8,fh+pa+env+prs_next+microb+fit_q+mtsdna+cfdna,0.03,0.8461,3.110,4.735,2.574,1.016,0.090,0.617,0.716,0.038,100.7,294.8,2.152
P1 FH,family history alone,1,fh,0.06,0.6038,1.197,1.721,1.025,1.967,0.125,0.769,1.066,0.046,55.4,170.7,2.930
