scenario,metric,real_cmost,matrix9state_v2,diff_pct
No screening,CRC deaths /100k,1897.67,1886.46,+0.6%
No screening,Incidence /100k,4626.67,4482.01,+3.2%
No screening,Screen-detected /100k,0.0,0.0,
No screening,Symptom-detected /100k,4626.67,4482.01,+3.2%
No screening,Stage I % (all),15.44,14.86,+3.9%
No screening,Stage II % (all),36.2,36.15,+0.1%
No screening,Stage III % (all),27.31,27.75,-1.6%
No screening,Stage IV % (all),21.05,21.25,-0.9%
No screening,Stage I % (symptom),15.44,14.86,+3.9%
No screening,Stage II % (symptom),36.2,36.15,+0.1%
No screening,Stage III % (symptom),27.31,27.75,-1.6%
No screening,Stage IV % (symptom),21.05,21.25,-0.9%
"Screen q10y (50,60,70)",CRC deaths /100k,1029.33,1038.35,-0.9%
"Screen q10y (50,60,70)",Incidence /100k,2722.67,2777.96,-2.0%
"Screen q10y (50,60,70)",Screen-detected /100k,522.0,507.94,+2.8%
"Screen q10y (50,60,70)",Symptom-detected /100k,2200.67,2270.02,-3.1%
"Screen q10y (50,60,70)",Stage I % (all),21.34,21.67,-1.5%
"Screen q10y (50,60,70)",Stage II % (all),36.85,37.0,-0.4%
"Screen q10y (50,60,70)",Stage III % (all),24.3,24.84,-2.2%
"Screen q10y (50,60,70)",Stage IV % (all),17.51,16.49,+6.2%
"Screen q10y (50,60,70)",Stage I % (screen),41.06,42.86,-4.2%
"Screen q10y (50,60,70)",Stage II % (screen),34.67,34.23,+1.3%
"Screen q10y (50,60,70)",Stage III % (screen),16.48,15.95,+3.3%
"Screen q10y (50,60,70)",Stage IV % (screen),7.79,6.97,+11.8%
"Screen q10y (50,60,70)",Stage I % (symptom),16.66,16.93,-1.6%
"Screen q10y (50,60,70)",Stage II % (symptom),37.37,37.62,-0.7%
"Screen q10y (50,60,70)",Stage III % (symptom),26.16,26.83,-2.5%
"Screen q10y (50,60,70)",Stage IV % (symptom),19.81,18.62,+6.4%
Screen q5y (50-75),CRC deaths /100k,767.67,797.17,-3.7%
Screen q5y (50-75),Incidence /100k,2224.0,2305.97,-3.6%
Screen q5y (50-75),Screen-detected /100k,738.67,739.99,-0.2%
Screen q5y (50-75),Symptom-detected /100k,1485.33,1565.99,-5.2%
Screen q5y (50-75),Stage I % (all),26.2,27.45,-4.6%
Screen q5y (50-75),Stage II % (all),37.87,37.11,+2.1%
Screen q5y (50-75),Stage III % (all),22.02,22.25,-1.0%
Screen q5y (50-75),Stage IV % (all),13.91,13.19,+5.4%
Screen q5y (50-75),Stage I % (screen),43.86,45.84,-4.3%
Screen q5y (50-75),Stage II % (screen),33.53,33.87,-1.0%
Screen q5y (50-75),Stage III % (screen),15.88,14.77,+7.5%
Screen q5y (50-75),Stage IV % (screen),6.72,5.51,+22.0%
Screen q5y (50-75),Stage I % (symptom),17.41,18.76,-7.2%
Screen q5y (50-75),Stage II % (symptom),40.04,38.64,+3.6%
Screen q5y (50-75),Stage III % (symptom),25.07,25.78,-2.8%
Screen q5y (50-75),Stage IV % (symptom),17.48,16.82,+3.9%
