scenario,metric,real_cmost,matrix9state_v2,diff_pct
No screening,CRC deaths /100k,1890.3,1881.22,+0.5%
No screening,Incidence /100k,4708.3,4471.11,+5.3%
No screening,Screen-detected /100k,0.0,0.0,
No screening,Symptom-detected /100k,4708.3,4471.11,+5.3%
No screening,Stage I % (all),15.48,14.86,+4.2%
No screening,Stage II % (all),36.33,36.15,+0.5%
No screening,Stage III % (all),27.55,27.75,-0.7%
No screening,Stage IV % (all),20.64,21.25,-2.8%
No screening,Stage I % (symptom),15.48,14.86,+4.2%
No screening,Stage II % (symptom),36.33,36.15,+0.5%
No screening,Stage III % (symptom),27.55,27.75,-0.7%
No screening,Stage IV % (symptom),20.64,21.25,-2.8%
"Screen q10y (50,60,70)",CRC deaths /100k,1039.7,1034.78,+0.5%
"Screen q10y (50,60,70)",Incidence /100k,2699.3,2765.04,-2.4%
"Screen q10y (50,60,70)",Screen-detected /100k,505.5,507.43,-0.4%
"Screen q10y (50,60,70)",Symptom-detected /100k,2193.8,2257.61,-2.8%
"Screen q10y (50,60,70)",Stage I % (all),21.12,21.68,-2.6%
"Screen q10y (50,60,70)",Stage II % (all),36.9,37.0,-0.3%
"Screen q10y (50,60,70)",Stage III % (all),24.68,24.84,-0.6%
"Screen q10y (50,60,70)",Stage IV % (all),17.29,16.49,+4.9%
"Screen q10y (50,60,70)",Stage I % (screen),42.2,42.86,-1.5%
"Screen q10y (50,60,70)",Stage II % (screen),34.12,34.22,-0.3%
"Screen q10y (50,60,70)",Stage III % (screen),16.32,15.96,+2.3%
"Screen q10y (50,60,70)",Stage IV % (screen),7.36,6.97,+5.7%
"Screen q10y (50,60,70)",Stage I % (symptom),16.26,16.92,-3.9%
"Screen q10y (50,60,70)",Stage II % (symptom),37.54,37.62,-0.2%
"Screen q10y (50,60,70)",Stage III % (symptom),26.61,26.83,-0.8%
"Screen q10y (50,60,70)",Stage IV % (symptom),19.58,18.63,+5.1%
Screen q5y (50-75),CRC deaths /100k,764.3,794.05,-3.7%
Screen q5y (50-75),Incidence /100k,2205.0,2292.45,-3.8%
Screen q5y (50-75),Screen-detected /100k,745.7,739.43,+0.8%
Screen q5y (50-75),Symptom-detected /100k,1459.3,1553.01,-6.0%
Screen q5y (50-75),Stage I % (all),25.86,27.48,-5.9%
Screen q5y (50-75),Stage II % (all),37.26,37.11,+0.4%
Screen q5y (50-75),Stage III % (all),22.2,22.23,-0.1%
Screen q5y (50-75),Stage IV % (all),14.67,13.17,+11.4%
Screen q5y (50-75),Stage I % (screen),43.91,45.83,-4.2%
Screen q5y (50-75),Stage II % (screen),33.82,33.87,-0.1%
Screen q5y (50-75),Stage III % (screen),15.38,14.79,+4.0%
Screen q5y (50-75),Stage IV % (screen),6.89,5.51,+25.0%
Screen q5y (50-75),Stage I % (symptom),16.64,18.74,-11.2%
Screen q5y (50-75),Stage II % (symptom),39.02,38.66,+0.9%
Screen q5y (50-75),Stage III % (symptom),25.69,25.77,-0.3%
Screen q5y (50-75),Stage IV % (symptom),18.65,16.82,+10.9%
