policy,mean_colo,life_years,crc_incidence,crc_mortality,LYG_per_1000,inc_reduction,mort_reduction,LYG_per_colo
No screening,0.000,78.113,4.157,1.710,0.000,0.000,0.000,0.000
Guideline q10y 45-75,3.375,78.217,2.253,0.873,103.658,1.903,0.837,30.712
Best fixed x1,0.893,78.168,3.383,1.357,55.467,0.773,0.353,62.097
Best fixed x2,1.656,78.180,2.800,1.120,67.200,1.357,0.590,40.576
Best fixed x3,2.589,78.205,2.463,0.987,91.658,1.693,0.723,35.405
Best fixed x4,3.241,78.216,2.233,0.833,103.342,1.923,0.877,31.886
Zaika fixed x1,0.912,78.161,3.580,1.393,48.533,0.577,0.317,53.195
Zaika fixed x2,1.784,78.186,2.853,1.160,72.825,1.303,0.550,40.816
Zaika fixed x3,2.635,78.193,2.573,1.057,80.425,1.583,0.653,30.516
Zaika fixed x4,3.506,78.213,2.340,0.923,99.700,1.817,0.787,28.438
PBVI adaptive x1,0.758,78.151,3.367,1.307,38.525,0.790,0.403,50.816
PBVI adaptive x2,1.674,78.182,2.927,1.133,68.758,1.230,0.577,41.084
PBVI adaptive x3,2.310,78.191,2.677,0.940,78.367,1.480,0.770,33.919
PBVI adaptive x4,3.123,78.204,2.327,0.853,91.500,1.830,0.857,29.298
