budget,policy,group,n,crc_mortality,crc_mortality_se,crc_incidence,mean_colo,attendance_rate,LYG_per_1000,LYG_per_colo
2,fixed,all,30000.0000,1.3700,0.0671,3.3500,1.0273,0.6210,43.9667,42.7997
2,fixed,low_adh,11999.0000,1.6418,0.1160,3.8003,0.3317,0.2014,-1.4724,-4.4389
2,fixed,high_adh,18001.0000,1.1888,0.0808,3.0498,1.4909,0.8984,74.2551,49.8050
2,recall,all,30000.0000,1.1533,0.0616,2.8700,1.5955,0.3867,60.9000,38.1707
2,recall,low_adh,11999.0000,1.1501,0.0973,2.8169,1.5022,0.1991,33.5514,22.3347
2,recall,high_adh,18001.0000,1.1555,0.0797,2.9054,1.6576,0.8974,79.1299,47.7367
2,pbvi,all,30000.0000,1.1600,0.0618,2.9267,1.5467,0.4038,61.2667,39.6121
2,pbvi,low_adh,11999.0000,1.2001,0.0994,2.8752,1.3544,0.1998,30.0303,22.1716
2,pbvi,high_adh,18001.0000,1.1333,0.0789,2.9609,1.6748,0.8974,82.0880,49.0138
3,fixed,all,30000.0000,1.1900,0.0626,2.9233,1.6015,0.6194,63.0667,39.3806
3,fixed,low_adh,11999.0000,1.5001,0.1110,3.5503,0.5121,0.1993,17.1542,33.4960
3,fixed,high_adh,18001.0000,0.9833,0.0735,2.5054,2.3276,0.8975,93.6707,40.2436
3,recall,all,30000.0000,0.9267,0.0553,2.3633,2.4856,0.3896,95.4833,38.4146
3,recall,low_adh,11999.0000,0.9167,0.0870,2.3585,2.3269,0.2004,91.4104,39.2849
3,recall,high_adh,18001.0000,0.9333,0.0717,2.3665,2.5914,0.8973,98.1983,37.8937
3,pbvi,all,30000.0000,0.9400,0.0557,2.7100,2.0739,0.4149,72.3000,34.8613
3,pbvi,low_adh,11999.0000,1.0501,0.0931,2.7752,1.7226,0.1993,43.0939,25.0161
3,pbvi,high_adh,18001.0000,0.8666,0.0691,2.6665,2.3081,0.8980,91.7681,39.7592
