budget,alpha,policy,crc_mortality,crc_mortality_se,crc_incidence,mean_colo,attendance_rate,LYG_per_1000,LYG_per_colo
2,1.0,fixed,1.1200,0.0608,2.8000,1.6562,1.0000,67.2000,40.5756
2,1.0,recall,1.1200,0.0608,2.8000,1.6562,1.0000,67.2000,40.5756
2,1.0,pbvi,1.1333,0.0611,2.9267,1.6736,1.0000,68.7583,41.0841
2,0.75,fixed,1.2767,0.0648,3.1800,1.2439,0.7517,49.8500,40.0756
2,0.75,recall,1.0900,0.0599,2.8300,1.6490,0.7507,69.1583,41.9396
2,0.75,pbvi,1.0867,0.0599,2.8800,1.6630,0.7505,77.6417,46.6877
2,0.5,fixed,1.3500,0.0666,3.3900,0.8318,0.5030,42.7000,51.3345
2,0.5,recall,1.0867,0.0599,2.8300,1.6298,0.4994,67.6750,41.5227
2,0.5,pbvi,1.1433,0.0614,2.9367,1.6266,0.4994,72.6500,44.6646
2,0.25,fixed,1.5967,0.0724,3.8267,0.4138,0.2505,18.0500,43.6166
2,0.25,recall,1.0567,0.0590,2.9000,1.5559,0.2480,68.1083,43.7752
2,0.25,pbvi,1.0933,0.0600,2.9300,1.4555,0.2483,71.3667,49.0335
3,1.0,fixed,0.9867,0.0571,2.4633,2.5888,1.0000,91.6583,35.4053
3,1.0,recall,0.9867,0.0571,2.4633,2.5888,1.0000,91.6583,35.4053
3,1.0,pbvi,0.9400,0.0557,2.6767,2.3104,1.0000,78.3667,33.9191
3,0.75,fixed,1.1133,0.0606,2.7000,1.9388,0.7494,79.8000,41.1602
3,0.75,recall,0.9667,0.0565,2.4033,2.5788,0.7491,91.3417,35.4207
3,0.75,pbvi,0.8567,0.0532,2.5733,2.2837,0.7492,90.0917,39.4499
3,0.5,fixed,1.2933,0.0652,3.1733,1.2976,0.5019,59.6333,45.9555
3,0.5,recall,0.9567,0.0562,2.4533,2.5540,0.4995,92.9583,36.3967
3,0.5,pbvi,0.9133,0.0549,2.6567,2.1998,0.4998,86.5167,39.3293
3,0.25,fixed,1.4733,0.0696,3.6500,0.6403,0.2483,29.9500,46.7725
3,0.25,recall,0.9367,0.0556,2.4667,2.4263,0.2489,93.7417,38.6351
3,0.25,pbvi,0.9867,0.0571,2.7600,1.8744,0.2482,77.7250,41.4659
