policy,cost,AUC,total_colo,colo_high,colo_low,mort_high,mort_high_se,mort_low,mort_overall,LYG1000_high
Fixed x1,,,0.893,0.888,0.894,2.882,0.213,0.861,1.360,172.6
Fixed x2,,,1.655,1.643,1.658,2.121,0.183,0.829,1.148,215.3
Fixed x3,,,2.587,2.579,2.589,1.781,0.168,0.696,0.964,285.6
Fixed x4,,,3.238,3.225,3.242,1.376,0.148,0.648,0.828,312.4
PBVI c=0.03,0.03,0.50,3.673,4.359,3.448,1.554,0.157,0.600,0.836,259.0
PBVI c=0.03,0.03,0.67,3.523,4.354,3.250,1.522,0.156,0.627,0.848,252.6
PBVI c=0.03,0.03,0.80,3.303,4.621,2.871,1.182,0.138,0.707,0.824,298.2
PBVI c=0.03,0.03,0.90,3.019,4.995,2.371,1.133,0.135,0.627,0.752,306.9
PBVI c=0.03,0.03,1.00,2.424,5.874,1.292,0.842,0.116,0.728,0.756,358.7
PBVI c=0.02,0.02,0.50,4.073,4.698,3.868,1.360,0.147,0.553,0.752,264.0
PBVI c=0.02,0.02,0.67,4.339,5.057,4.103,1.101,0.133,0.579,0.708,302.7
PBVI c=0.02,0.02,0.80,4.194,5.251,3.847,1.068,0.131,0.616,0.728,310.4
PBVI c=0.02,0.02,0.90,3.935,5.473,3.430,0.826,0.115,0.680,0.716,365.8
PBVI c=0.02,0.02,1.00,3.195,5.897,2.309,0.874,0.118,0.680,0.728,356.6
