fpr,tpr,threshold
0.000000,0.000000,inf
0.000122,0.002048,10.552899
0.000377,0.004096,9.654985
0.000510,0.005120,8.442319
0.001020,0.009217,7.723988
0.001132,0.010753,7.070442
0.002132,0.022529,6.988675
0.002866,0.029698,6.897319
0.003233,0.035330,6.468840
0.005895,0.069124,6.394030
0.007394,0.088070,6.310448
0.007609,0.089094,5.656354
0.008731,0.097798,5.590940
0.009271,0.106503,5.517856
0.009791,0.111111,5.175072
0.013473,0.156682,5.115224
0.015554,0.175115,5.048358
0.016258,0.178187,4.711115
0.017379,0.184844,4.682412
0.018114,0.189964,4.621204
0.023142,0.213518,4.567761
0.025539,0.228367,4.310261
0.029159,0.243728,4.284000
0.031138,0.250384,4.228000
0.046080,0.290835,4.179104
0.047008,0.293395,3.768892
0.048426,0.294419,3.745930
0.049333,0.296979,3.696963
0.055331,0.310292,3.654209
0.059543,0.332821,3.448209
0.064163,0.348694,3.427200
0.066907,0.359959,3.382400
0.088101,0.394777,3.343284
0.088845,0.396313,3.156447
0.093975,0.402458,3.119944
0.097423,0.408602,3.079160
0.104062,0.419355,3.060400
0.106582,0.424987,2.887875
0.124899,0.450589,2.854478
0.136465,0.468510,2.817164
0.153681,0.486943,2.800000
0.154773,0.486943,2.525158
0.160902,0.497184,2.495955
0.164493,0.501792,2.463328
0.171428,0.511521,2.448320
0.175997,0.518689,2.310300
0.209593,0.564260,2.283582
0.230257,0.592934,2.253731
0.252624,0.616487,2.240000
0.258549,0.621608,2.090362
0.261854,0.624680,2.063038
0.286587,0.645673,2.039179
0.307842,0.671787,1.912500
0.320683,0.682028,1.887500
0.408427,0.748080,1.865672
0.416423,0.751664,1.672290
0.420635,0.755248,1.650430
0.450498,0.773169,1.631343
0.486930,0.799795,1.530000
0.509327,0.811572,1.510000
0.668791,0.894521,1.492537
0.696900,0.904762,1.366250
0.793793,0.941116,1.250000
0.828184,0.949821,1.093000
1.000000,1.000000,1.000000
