fpr,tpr,threshold
0.000000,0.000000,inf
0.001754,0.020481,54.051973
0.001764,0.020481,52.386057
0.003447,0.038914,52.059375
0.005181,0.056324,50.066776
0.006629,0.078341,48.074177
0.006640,0.078341,46.873679
0.008312,0.098822,46.081579
0.008323,0.098822,45.636502
0.009873,0.117768,44.088980
0.011535,0.134153,42.096381
0.011535,0.134665,42.006421
0.013208,0.148490,40.103783
0.013218,0.148490,39.726779
0.014789,0.168459,38.111184
0.016502,0.185868,36.118585
0.018359,0.202253,34.125987
0.018369,0.202253,32.837023
0.019909,0.218638,32.133388
0.019919,0.218638,30.569341
0.021796,0.228879,30.140789
0.021806,0.228879,30.120253
0.023479,0.239119,28.148191
0.023489,0.239119,26.420328
0.025437,0.248848,26.155592
0.025447,0.248848,25.687133
0.027222,0.261649,24.162993
0.027232,0.261649,23.395531
0.029027,0.271889,22.170395
0.030995,0.282642,20.177796
0.032872,0.289811,18.185197
0.032882,0.289811,18.021727
0.034575,0.301587,16.192599
0.036503,0.309780,14.200000
0.038553,0.315924,12.207401
0.038563,0.315924,10.983833
0.040460,0.323093,10.214803
0.042429,0.328725,8.222204
0.044509,0.333333,6.229605
0.044519,0.333333,5.953875
0.046478,0.335381,4.237007
0.048395,0.337430,4.226058
0.050425,0.341014,4.215110
0.050435,0.341014,4.207669
0.052628,0.343062,4.204162
0.054566,0.346134,4.193214
0.056402,0.348182,4.182266
0.056412,0.348182,4.179881
0.058452,0.351767,4.171317
0.060369,0.355863,4.160369
0.062225,0.357911,4.149421
0.062235,0.357911,4.141060
0.064306,0.359447,4.138473
0.066438,0.360471,4.127524
0.066448,0.360471,4.122686
0.068518,0.363031,4.116576
0.070466,0.364567,4.105628
0.072496,0.367127,4.094680
0.074607,0.368664,4.083732
0.074617,0.368664,4.074838
0.076586,0.371224,4.072783
0.076596,0.371224,4.070861
0.078707,0.372760,4.061835
0.080665,0.377880,4.050887
0.082603,0.381976,4.039939
0.084612,0.385561,4.028990
0.084623,0.385561,4.028642
0.086499,0.388633,4.018042
0.088560,0.392217,4.007094
0.088570,0.392217,3.999168
0.090548,0.397337,3.996146
0.090559,0.397337,3.993507
0.092435,0.398874,3.985198
0.094322,0.401434,3.974249
0.096342,0.404506,3.963301
0.098341,0.406554,3.955369
0.098351,0.406554,3.948804
0.098361,0.406554,3.947727
0.100278,0.412698,3.947437
0.102216,0.415771,3.939505
0.104277,0.417819,3.931574
0.106296,0.419355,3.923642
0.106306,0.419355,3.920223
0.108366,0.421403,3.915710
0.108377,0.421403,3.914246
0.110437,0.423963,3.907778
0.112487,0.424987,3.899846
0.112497,0.424987,3.892750
0.114435,0.428571,3.891914
0.116444,0.432156,3.883982
0.116454,0.432156,3.882426
0.118351,0.434716,3.876050
0.118362,0.434716,3.873351
0.120371,0.436252,3.868119
0.120381,0.436252,3.866086
0.122431,0.439836,3.860187
0.124318,0.441372,3.852255
0.126103,0.442908,3.844323
0.126113,0.442908,3.837875
0.126123,0.442908,3.837006
0.128183,0.447005,3.836391
0.129948,0.447517,3.828459
0.129958,0.447517,3.824368
0.131967,0.450589,3.820527
0.133803,0.453661,3.812595
0.133813,0.453661,3.810885
0.135700,0.457245,3.804664
0.135710,0.457245,3.799517
0.137618,0.461342,3.796732
0.137628,0.461342,3.790419
0.139892,0.463902,3.788800
0.139902,0.463902,3.781130
0.141759,0.467486,3.780868
0.143819,0.473630,3.772936
0.145818,0.476703,3.765004
0.147654,0.477727,3.759083
0.149755,0.479775,3.753162
0.151642,0.482335,3.747241
0.153630,0.484383,3.741320
0.153641,0.484383,3.741280
0.155660,0.488479,3.735399
0.155670,0.488479,3.732362
0.157639,0.492576,3.729478
0.159485,0.496160,3.723557
0.161484,0.498208,3.717636
0.161494,0.498208,3.717288
0.163585,0.504864,3.711715
0.163595,0.504864,3.707162
0.165523,0.509985,3.705794
0.165533,0.509985,3.700352
0.167685,0.512545,3.699873
0.167695,0.512545,3.696502
