budget,schedule,policy,n,mean_colo,crc_mortality,crc_mortality_se,crc_incidence,mort_reduction,LYG_per_1000,mortred_per_colo
1,58,fixed,20000.0000,0.8930,1.3900,0.0828,3.4450,0.4300,57.0250,0.4815
1,58,pbvi,20000.0000,0.7573,1.3650,0.0820,3.3750,0.4550,43.5875,0.6008
2,58;70,fixed,20000.0000,1.6544,1.2100,0.0773,2.8600,0.6100,63.2250,0.3687
2,58;70,pbvi,20000.0000,1.6710,1.2100,0.0773,2.9850,0.6100,71.6750,0.3651
3,52;58;70,fixed,20000.0000,2.5864,0.9350,0.0681,2.4600,0.8850,112.7625,0.3422
3,52;58;70,pbvi,20000.0000,2.3064,1.0000,0.0704,2.7150,0.8200,81.5875,0.3555
4,52;58;70;76,fixed,20000.0000,3.2386,0.8050,0.0632,2.2000,1.0150,123.9750,0.3134
4,52;58;70;76,pbvi,20000.0000,3.1198,0.8650,0.0655,2.3950,0.9550,105.2125,0.3061
6,46;52;58;64;70;76,fixed,20000.0000,5.0382,0.8150,0.0636,2.1650,1.0050,129.8500,0.1995
6,46;52;58;64;70;76,pbvi,20000.0000,4.5241,0.7100,0.0594,2.0500,1.1100,120.1250,0.2454
