budget,stratum,policy,n,mean_colo,crc_mortality,crc_mortality_se,crc_incidence,mort_reduction,LYG_per_1000,mortred_per_colo,paired_pbvi_minus_fixed_mort_pp,se
2,all,ref,40000.0000,0.0000,1.6725,0.0641,4.1075,0.0000,0.0000,0.0000,,
2,all,fixed,40000.0000,1.6571,1.0975,0.0521,2.7575,0.5750,60.4312,0.3470,,
2,all,pbvi,40000.0000,1.6744,1.1075,0.0523,2.8750,0.5650,65.2062,0.3374,0.0100,0.0426
2,risk_Q1,ref,9913.0000,0.0000,0.6053,0.0779,1.4930,0.0000,0.0000,0.0000,,
2,risk_Q1,fixed,9913.0000,1.6596,0.6254,0.0792,1.4627,-0.0202,-5.7248,-0.0122,,
2,risk_Q1,pbvi,9913.0000,1.6781,0.6456,0.0804,1.4627,-0.0404,-10.0625,-0.0240,0.0202,0.0319
2,risk_Q2,ref,10027.0000,0.0000,0.8078,0.0894,1.8949,0.0000,0.0000,0.0000,,
2,risk_Q2,fixed,10027.0000,1.6601,0.6383,0.0795,1.6456,0.1695,9.4246,0.1021,,
2,risk_Q2,pbvi,10027.0000,1.6771,0.6682,0.0814,1.7652,0.1396,7.4050,0.0833,0.0299,0.0331
2,risk_Q3,ref,9847.0000,0.0000,1.6147,0.1270,4.0215,0.0000,0.0000,0.0000,,
2,risk_Q3,fixed,9847.0000,1.6609,1.1171,0.1059,2.6709,0.4976,43.1857,0.2996,,
2,risk_Q3,pbvi,9847.0000,1.6783,1.1476,0.1073,2.8841,0.4671,54.1282,0.2783,0.0305,0.0806
2,risk_Q4,ref,10213.0000,0.0000,3.6130,0.1847,8.9004,0.0000,0.0000,0.0000,,
2,risk_Q4,fixed,10213.0000,1.6482,1.9877,0.1381,5.1895,1.6254,191.3493,0.9862,,
2,risk_Q4,pbvi,10213.0000,1.6646,1.9485,0.1368,5.3265,1.6645,205.6937,0.9999,-0.0392,0.1405
2,low_class,ref,30112.0000,0.0000,1.0262,0.0581,2.4973,0.0000,0.0000,0.0000,,
2,low_class,fixed,30112.0000,1.6603,0.8003,0.0513,1.9427,0.2258,14.5125,0.1360,,
2,low_class,pbvi,30112.0000,1.6780,0.8236,0.0521,2.0457,0.2026,17.0364,0.1207,0.0232,0.0310
2,high_class,ref,9888.0000,0.0000,3.6408,0.1884,9.0109,0.0000,0.0000,0.0000,,
2,high_class,fixed,9888.0000,1.6477,2.0024,0.1409,5.2387,1.6383,200.2680,0.9944,,
2,high_class,pbvi,9888.0000,1.6637,1.9721,0.1398,5.4005,1.6687,211.8983,1.0030,-0.0303,0.1441
2,NH_no_crc,ref,38357.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,
2,NH_no_crc,fixed,38357.0000,1.6557,0.4510,0.0342,1.2332,-0.4510,-44.0923,-0.2724,,
2,NH_no_crc,pbvi,38357.0000,1.6724,0.4980,0.0359,1.4574,-0.4980,-49.2153,-0.2977,0.0469,0.0330
2,NH_would_crc,ref,1643.0000,0.0000,40.7182,1.2125,100.0000,0.0000,0.0000,0.0000,,
2,NH_would_crc,fixed,1643.0000,1.6902,16.1899,0.9090,38.3445,24.5283,2500.6086,14.5121,,
2,NH_would_crc,pbvi,1643.0000,1.7225,15.3378,0.8893,35.9708,25.3804,2736.4577,14.7350,-0.8521,0.6939
3,all,ref,40000.0000,0.0000,1.6725,0.0641,4.1075,0.0000,0.0000,0.0000,,
3,all,fixed,40000.0000,2.5901,0.9725,0.0491,2.4350,0.7000,86.8937,0.2703,,
3,all,pbvi,40000.0000,2.3123,0.9225,0.0478,2.5900,0.7500,74.4813,0.3243,-0.0500,0.0579
3,risk_Q1,ref,9913.0000,0.0000,0.6053,0.0779,1.4930,0.0000,0.0000,0.0000,,
3,risk_Q1,fixed,9913.0000,2.5895,0.5347,0.0732,1.3316,0.0706,11.7018,0.0273,,
3,risk_Q1,pbvi,9913.0000,2.3458,0.5649,0.0753,1.4022,0.0404,-7.8180,0.0172,0.0303,0.0788
3,risk_Q2,ref,10027.0000,0.0000,0.8078,0.0894,1.8949,0.0000,0.0000,0.0000,,
3,risk_Q2,fixed,10027.0000,2.5914,0.6981,0.0832,1.6256,0.1097,4.6125,0.0423,,
3,risk_Q2,pbvi,10027.0000,2.3338,0.6482,0.0801,1.7154,0.1596,7.7291,0.0684,-0.0499,0.0920
3,risk_Q3,ref,9847.0000,0.0000,1.6147,0.1270,4.0215,0.0000,0.0000,0.0000,,
3,risk_Q3,fixed,9847.0000,2.5938,0.8937,0.0948,2.3357,0.7210,78.5518,0.2780,,
3,risk_Q3,pbvi,9847.0000,2.3069,0.8937,0.0948,2.6099,0.7210,78.6026,0.3126,0.0000,0.1158
3,risk_Q4,ref,10213.0000,0.0000,3.6130,0.1847,8.9004,0.0000,0.0000,0.0000,,
3,risk_Q4,fixed,10213.0000,2.5859,1.7429,0.1295,4.3964,1.8702,248.7026,0.7232,,
3,risk_Q4,pbvi,10213.0000,2.2640,1.5666,0.1229,4.5824,2.0464,215.9258,0.9039,-0.1762,0.1579
3,low_class,ref,30112.0000,0.0000,1.0262,0.0581,2.4973,0.0000,0.0000,0.0000,,
3,low_class,fixed,30112.0000,2.5918,0.7140,0.0485,1.7800,0.3122,30.9428,0.1204,,
3,low_class,pbvi,30112.0000,2.3287,0.7007,0.0481,1.9129,0.3255,26.2852,0.1398,-0.0133,0.0556
3,high_class,ref,9888.0000,0.0000,3.6408,0.1884,9.0109,0.0000,0.0000,0.0000,,
3,high_class,fixed,9888.0000,2.5852,1.7597,0.1322,4.4296,1.8811,257.2816,0.7276,,
3,high_class,pbvi,9888.0000,2.2623,1.5979,0.1261,4.6521,2.0429,221.2530,0.9030,-0.1618,0.1618
3,NH_no_crc,ref,38357.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,
3,NH_no_crc,fixed,38357.0000,2.5850,0.5553,0.0379,1.4078,-0.5553,-45.3698,-0.2148,,
3,NH_no_crc,pbvi,38357.0000,2.3076,0.4927,0.0358,1.4834,-0.4927,-50.8773,-0.2135,-0.0626,0.0459
3,NH_would_crc,ref,1643.0000,0.0000,40.7182,1.2125,100.0000,0.0000,0.0000,0.0000,,
3,NH_would_crc,fixed,1643.0000,2.7091,10.7121,0.7632,26.4151,30.0061,3174.6805,11.0762,,
3,NH_would_crc,pbvi,1643.0000,2.4224,10.9556,0.7708,28.4236,29.7626,3001.0651,12.2864,0.2435,0.9152
4,all,ref,40000.0000,0.0000,1.6725,0.0641,4.1075,0.0000,0.0000,0.0000,,
4,all,fixed,40000.0000,3.2420,0.8075,0.0447,2.2025,0.8650,98.5187,0.2668,,
4,all,pbvi,40000.0000,3.1239,0.8325,0.0454,2.2775,0.8400,87.4188,0.2689,0.0250,0.0494
4,risk_Q1,ref,9913.0000,0.0000,0.6053,0.0779,1.4930,0.0000,0.0000,0.0000,,
4,risk_Q1,fixed,9913.0000,3.2470,0.4439,0.0668,1.3618,0.1614,15.0560,0.0497,,
4,risk_Q1,pbvi,9913.0000,3.1633,0.4741,0.0690,1.4022,0.1311,3.3542,0.0415,0.0303,0.0462
4,risk_Q2,ref,10027.0000,0.0000,0.8078,0.0894,1.8949,0.0000,0.0000,0.0000,,
4,risk_Q2,fixed,10027.0000,3.2438,0.4687,0.0682,1.4461,0.3391,19.7716,0.1045,,
4,risk_Q2,pbvi,10027.0000,3.1503,0.4687,0.0682,1.5259,0.3391,26.4037,0.1076,0.0000,0.0646
4,risk_Q3,ref,9847.0000,0.0000,1.6147,0.1270,4.0215,0.0000,0.0000,0.0000,,
4,risk_Q3,fixed,9847.0000,3.2448,0.9749,0.0990,2.2443,0.6398,78.0187,0.1972,,
4,risk_Q3,pbvi,9847.0000,3.1167,0.8632,0.0932,2.1631,0.7515,75.5052,0.2411,-0.1117,0.1031
4,risk_Q4,ref,10213.0000,0.0000,3.6130,0.1847,8.9004,0.0000,0.0000,0.0000,,
4,risk_Q4,fixed,10213.0000,3.2325,1.3316,0.1134,3.7207,2.2814,276.6082,0.7058,,
4,risk_Q4,pbvi,10213.0000,3.0669,1.5079,0.1206,3.9753,2.1052,240.4044,0.6864,0.1762,0.1465
4,low_class,ref,30112.0000,0.0000,1.0262,0.0581,2.4973,0.0000,0.0000,0.0000,,
4,low_class,fixed,30112.0000,3.2454,0.6376,0.0459,1.7003,0.3885,36.2646,0.1197,,
4,low_class,pbvi,30112.0000,3.1432,0.6011,0.0445,1.7003,0.4251,35.4593,0.1352,-0.0365,0.0434
4,high_class,ref,9888.0000,0.0000,3.6408,0.1884,9.0109,0.0000,0.0000,0.0000,,
4,high_class,fixed,9888.0000,3.2317,1.3248,0.1150,3.7318,2.3159,288.1017,0.7166,,
4,high_class,pbvi,9888.0000,3.0654,1.5372,0.1237,4.0352,2.1036,245.6513,0.6862,0.2124,0.1497
4,NH_no_crc,ref,38357.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,
4,NH_no_crc,fixed,38357.0000,3.2316,0.3650,0.0308,1.0663,-0.3650,-32.0802,-0.1129,,
4,NH_no_crc,pbvi,38357.0000,3.1170,0.4067,0.0325,1.2097,-0.4067,-39.5169,-0.1305,0.0417,0.0378
4,NH_would_crc,ref,1643.0000,0.0000,40.7182,1.2125,100.0000,0.0000,0.0000,0.0000,,
4,NH_would_crc,fixed,1643.0000,3.4857,11.1382,0.7764,28.7279,29.5800,3147.4437,8.4861,,
4,NH_would_crc,pbvi,1643.0000,3.2867,10.7730,0.7651,27.2063,29.9452,3050.8217,9.1111,-0.3652,0.8168
