scenario,metric,CMOST,matrix_tauphase97,diff_pct
No screening,Avg age at death (all),78.1417175,78.13975945739637,-0.0%
No screening,Avg age at CRC death,75.75308483290489,75.72722292976512,-0.0%
No screening,CRC deaths /100k,1944.9999999999998,1954.4803579873067,+0.5%
No screening,CRC incidence /100k,4727.0,4730.50163753639,+0.1%
No screening,Stage I %,15.845144912206473,15.801294422810782,-0.3%
No screening,Stage II %,36.74635075100487,36.76527304481533,+0.1%
No screening,Stage III %,27.290035963613285,27.333020011539322,+0.2%
No screening,Stage IV %,20.118468373175375,20.100412520834563,-0.1%
"Screen q10y (50,60,70)",Avg age at death (all),78.150825,78.33407448290913,+0.2%
"Screen q10y (50,60,70)",Avg age at CRC death,76.76003824091778,76.09810790939365,-0.9%
"Screen q10y (50,60,70)",CRC deaths /100k,1046.0,1050.2913129068397,+0.4%
"Screen q10y (50,60,70)",CRC incidence /100k,2748.0,2753.976436986091,+0.2%
"Screen q10y (50,60,70)",Stage I %,21.179039301310045,22.182080836870057,+4.7%
"Screen q10y (50,60,70)",Stage II %,36.972343522561864,37.53836765900564,+1.5%
"Screen q10y (50,60,70)",Stage III %,24.23580786026201,24.80268426078914,+2.3%
"Screen q10y (50,60,70)",Stage IV %,17.612809315866084,15.476867243335171,-12.1%
Screen q5y (50-75),Avg age at death (all),78.20843,78.38358011366232,+0.2%
Screen q5y (50-75),Avg age at CRC death,76.77955367913148,75.58125231432912,-1.6%
Screen q5y (50-75),CRC deaths /100k,829.0,788.6277852719822,-4.9%
Screen q5y (50-75),CRC incidence /100k,2326.0,2301.896220659579,-1.0%
Screen q5y (50-75),Stage I %,26.182287188306105,27.37500504915778,+4.6%
Screen q5y (50-75),Stage II %,37.61822871883061,37.9185750726113,+0.8%
Screen q5y (50-75),Stage III %,21.023215821152192,22.58380558320249,+7.4%
Screen q5y (50-75),Stage IV %,15.176268271711091,12.122614295028432,-20.1%
